0,511/29/11,13861,00:02:29
1,511/30/11,13028,00:02:20
2,512/1/11,10277,00:02:19
3,512/2/11,7360,00:02:43
4,512/3/11,5362,00:03:10
5,512/4/11,8925,00:03:36
6,512/5/11,8305,00:03:03
7,512/6/11,7688,00:02:43
8,512/7/11,7250,00:02:46
9,512/8/11,4711,00:02:04
10,12/9/11,2636,00:01:52
11,12/10/11,1651,00:02:09
12,12/11/11,1767,00:03:08
13,12/12/11,1943,00:02:03
14,12/13/11,1919,00:02:06
15,12/14/11,2068,00:03:17
16,12/15/11,1470,00:02:09
17,12/16/11,1369,00:02:47
18,12/17/11,904,00:02:03
19,12/18/11,782,00:01:52
20,12/19/11,814,00:01:36
21,12/20/11,765,00:01:29